type	id	project_id	submitter_id	specimen_id	subjects.id	subjects.submitter_id
sample	00075d7d-6b28-4256-9c93-b221532daa0e	tutorial-synthetic_data_set_1	NA12272_sample	NA12272_sample	be7df180-21c4-43ba-a5f2-76ad456b1c70	NA12272
sample	00378093-7510-432a-a8b8-870679e78624	tutorial-synthetic_data_set_1	HG03832_sample	HG03832_sample	bccec49b-06b5-4051-adb0-66ad1d3a1088	HG03832
sample	003a9b8e-6b19-46f3-98f2-d3246230a271	tutorial-synthetic_data_set_1	NA19027_sample	NA19027_sample	8451f4bf-283f-493f-88ef-6c9bf36ae27c	NA19027
sample	003cbbda-7b40-4d24-a7c5-b7c503fd81ff	tutorial-synthetic_data_set_1	HG03611_sample	HG03611_sample	2056718f-51d0-457d-b20a-1f8c6433aaee	HG03611
sample	005eb80a-fc96-430d-9f4d-58638b20317c	tutorial-synthetic_data_set_1	NA20511_sample	NA20511_sample	b2fb28b1-8e87-44f4-af96-82053e8d931d	NA20511
sample	006679aa-0938-4ff4-aba0-c95b59021299	tutorial-synthetic_data_set_1	NA18963_sample	NA18963_sample	05e0225a-5daf-46fe-a9fc-d6e026414d06	NA18963
sample	006d5c48-2dfa-4273-91d7-3ea36ce993e7	tutorial-synthetic_data_set_1	NA20799_sample	NA20799_sample	a268f9fd-ca54-499e-89c8-a21c28ba853e	NA20799
sample	0078faba-7531-47e6-a8a5-0edc154a970d	tutorial-synthetic_data_set_1	HG00306_sample	HG00306_sample	7e67256f-ebbf-4853-80bd-2d3999de267b	HG00306
sample	007ff761-7366-4d0a-87c0-764131f75c14	tutorial-synthetic_data_set_1	HG01414_sample	HG01414_sample	974372fa-ea04-494e-b061-369052ea6aba	HG01414
sample	00871199-4da7-4dac-814b-b98de299560a	tutorial-synthetic_data_set_1	HG03449_sample	HG03449_sample	f3b7daff-09de-4dba-a285-6d2318782e04	HG03449
sample	009403dd-3cfe-460b-8204-901e56b37ca6	tutorial-synthetic_data_set_1	NA18614_sample	NA18614_sample	ee9336df-9b2b-4f0d-a3a3-c2709f0f428c	NA18614
sample	009a4990-767d-47c6-a07a-8f4fd999606f	tutorial-synthetic_data_set_1	HG03870_sample	HG03870_sample	7e4403d3-557d-445a-93d3-30404afdc38b	HG03870
sample	0123f9ec-4a01-4bdb-b42e-fda3c923e430	tutorial-synthetic_data_set_1	HG01357_sample	HG01357_sample	91fa1a37-1f7d-4f7d-81c7-41235f052e47	HG01357
sample	0172fa24-13c8-49ca-8a23-74d03678341c	tutorial-synthetic_data_set_1	HG03746_sample	HG03746_sample	aed8cf77-2006-4efd-a640-120128c7056a	HG03746
sample	01865924-dba9-49b5-ade2-d16ef28414a7	tutorial-synthetic_data_set_1	NA18511_sample	NA18511_sample	4cb5f513-632a-40f8-a731-c623c949b122	NA18511
sample	01897f2d-390f-4ab9-91c9-3c3c8ed5c2c7	tutorial-synthetic_data_set_1	HG02678_sample	HG02678_sample	5151c945-c8d6-471c-8054-fc981721776a	HG02678
sample	01a9ff60-7cbf-4d88-90ce-33e5c804f7b5	tutorial-synthetic_data_set_1	NA19431_sample	NA19431_sample	954430f8-8e18-4fb2-9208-b7253568334c	NA19431
sample	01ae0f53-7136-4f26-8b92-48ddbaf7400e	tutorial-synthetic_data_set_1	NA12717_sample	NA12717_sample	29d1ea99-6533-41ef-b0ef-79e27ce4dc57	NA12717
sample	01d48a7c-a2b9-47cd-ae36-ecbfa4835b21	tutorial-synthetic_data_set_1	HG02277_sample	HG02277_sample	e51d4ddb-f8fc-47c0-b23f-3e2a7804e77a	HG02277
sample	0226c2c9-004a-46dd-b4de-6de23b2ad0a5	tutorial-synthetic_data_set_1	NA18993_sample	NA18993_sample	71952265-cdfe-4f66-8d32-aa0d63012343	NA18993
sample	022e92a0-2544-4580-a61c-d1e5d58321d0	tutorial-synthetic_data_set_1	HG01107_sample	HG01107_sample	662720d0-37d2-4e74-ae6c-e20e104aeee1	HG01107
sample	026f7387-4c6a-4ffb-b754-0dbe34ad2987	tutorial-synthetic_data_set_1	HG00708_sample	HG00708_sample	f40d9461-dbd2-4652-b470-705b8c8992f2	HG00708
sample	0296ae0b-e43a-4088-8b49-95885e2d2d45	tutorial-synthetic_data_set_1	HG01198_sample	HG01198_sample	edca5904-2e15-43fc-870f-1b6773bc5c60	HG01198
sample	02b86b24-5737-400c-84b5-ed424ad4c879	tutorial-synthetic_data_set_1	HG03785_sample	HG03785_sample	645733e5-5a12-47ee-b10c-d84a59372882	HG03785
sample	02c1c286-357d-483c-a0f8-6f4f10908b40	tutorial-synthetic_data_set_1	HG00332_sample	HG00332_sample	a3d2dd7e-19f0-4b3a-88d0-a96e9edf2eda	HG00332
sample	02caa404-1c28-4a73-8ede-749eaa5cef28	tutorial-synthetic_data_set_1	NA19081_sample	NA19081_sample	f4b096a8-9a9f-4a8c-b647-2b51a3601583	NA19081
sample	0325f4ee-b586-4771-ad2d-174022e16661	tutorial-synthetic_data_set_1	NA20754_sample	NA20754_sample	80f1ddeb-d65b-429b-8f23-e182626bb909	NA20754
sample	033de3ad-c86f-419a-977d-51b977562056	tutorial-synthetic_data_set_1	HG01791_sample	HG01791_sample	3b4f3509-c615-4c76-8da1-becc93c0d1c7	HG01791
sample	035a3573-ba36-457f-8cf3-a8c3bcfa86c6	tutorial-synthetic_data_set_1	HG01435_sample	HG01435_sample	d7a16c0b-dc79-49a1-967d-1c43eda2e7ef	HG01435
